timestamp,side,price
1469404944505164,:b,1.09703
1469404944505164,:a,1.09709
1469404944505175,:b,1.09703
1469404944505175,:a,1.09709
1469404944505204,:b,1.09703
1469404944505204,:a,1.09709
1469404944505215,:b,1.09703
1469404944505215,:a,1.09709
1469404944505868,:b,1.09703
1469404944505868,:a,1.09709
1469404944505877,:b,1.09703
1469404944505877,:a,1.09709
1469404944533516,:b,1.09703
1469404944533516,:a,1.09709
1469404944665913,:b,1.09703
1469404944665913,:a,1.09709
1469404944666179,:b,1.09703
1469404944666179,:a,1.09709
1469404944666304,:b,1.09705
1469404944666304,:a,1.09709
1469404944667112,:b,1.09705
1469404944667112,:a,1.09709
1469404944667159,:b,1.09705
1469404944667159,:a,1.09709
1469404944786900,:b,1.09705
1469404944786900,:a,1.09709
1469404944932783,:b,1.09704
1469404944932783,:a,1.09709
1469404944933140,:b,1.09704
1469404944933140,:a,1.09709
1469404944933174,:b,1.09704
1469404944933174,:a,1.09709
1469404944936749,:b,1.09703
1469404944936749,:a,1.09709
1469404944938098,:b,1.09703
1469404944938098,:a,1.09709
1469404945283102,:b,1.09703
1469404945283102,:a,1.09709
1469404945283526,:b,1.09705
1469404945283526,:a,1.09709
1469404945284137,:b,1.09705
1469404945284137,:a,1.09709
1469404945284390,:b,1.09705
1469404945284390,:a,1.09709
1469404945284480,:b,1.09705
1469404945284480,:a,1.09709
1469404945420722,:b,1.09705
1469404945420722,:a,1.09709
1469404945566636,:b,1.09704
1469404945566636,:a,1.09709
1469404945567191,:b,1.09704
1469404945567191,:a,1.09709
1469404945571013,:b,1.09703
1469404945571013,:a,1.09709
1469404945606480,:b,1.09703
1469404945606480,:a,1.09709
1469404945918124,:b,1.09703
1469404945918124,:a,1.09709
1469404945918489,:b,1.09705
1469404945918489,:a,1.09709
1469404945919436,:b,1.09705
1469404945919436,:a,1.09709
1469404946333191,:b,1.09705
1469404946333191,:a,1.09709
1469404946333645,:b,1.09704
1469404946333645,:a,1.09709
1469404946337448,:b,1.09702
1469404946337448,:a,1.09709
1469404946338000,:b,1.09702
1469404946338000,:a,1.09709
1469404946338040,:b,1.09702
1469404946338040,:a,1.09709
1469404946338055,:b,1.09702
1469404946338055,:a,1.09709
1469404946467447,:b,1.09703
1469404946467447,:a,1.09709
1469404947140424,:b,1.09703
1469404947140424,:a,1.09709
1469404958092674,:b,1.09703
1469404958092674,:a,1.09709
1469404958102523,:b,1.09703
1469404958102523,:a,1.09709
1469404958102691,:b,1.09703
1469404958102691,:a,1.09709
1469404958103242,:b,1.09703
1469404958103242,:a,1.09709
1469404958103411,:b,1.09703
1469404958103411,:a,1.09709
1469404958103411,:b,1.09703
1469404958103411,:a,1.09709
1469404958103457,:b,1.09703
1469404958103457,:a,1.09709
1469404958103636,:b,1.09703
1469404958103636,:a,1.09709
1469404958104884,:b,1.09703
1469404958104884,:a,1.09709
1469404958107683,:b,1.09703
1469404958107683,:a,1.09709
1469404958107786,:b,1.09703
1469404958107786,:a,1.09709
1469404958108061,:b,1.09703
1469404958108061,:a,1.09709
1469404958108150,:b,1.09703
1469404958108150,:a,1.09709
1469404958116455,:b,1.09703
1469404958116455,:a,1.09709
1469404958116622,:b,1.09703
1469404958116622,:a,1.09709
1469404958116782,:b,1.09703
1469404958116782,:a,1.09709
1469404958116879,:b,1.09703
1469404958116879,:a,1.09709
1469404958116886,:b,1.09703
1469404958116886,:a,1.09709
1469404958116897,:b,1.09703
1469404958116897,:a,1.09709
1469404958117067,:b,1.09703
1469404958117067,:a,1.09709
1469404958117185,:b,1.09703
1469404958117185,:a,1.09709
1469404958118201,:b,1.09704
1469404958118201,:a,1.09709
1469404958118555,:b,1.09704
1469404958118555,:a,1.09709
1469404958129548,:b,1.09704
1469404958129548,:a,1.09709
1469404958129681,:b,1.09704
1469404958129681,:a,1.09709
1469404958129707,:b,1.09704
1469404958129707,:a,1.09709
1469404958129860,:b,1.09704
1469404958129860,:a,1.09709
1469404958129862,:b,1.09704
1469404958129862,:a,1.09709
1469404958130077,:b,1.09704
1469404958130077,:a,1.09709
1469404958130117,:b,1.09704
1469404958130117,:a,1.09709
1469404958130307,:b,1.09704
1469404958130307,:a,1.09709
1469404958130338,:b,1.09704
1469404958130338,:a,1.09709
1469404958130340,:b,1.09704
1469404958130340,:a,1.09709
1469404958130620,:b,1.09704
1469404958130620,:a,1.09709
1469404958130728,:b,1.09704
1469404958130728,:a,1.09709
1469404958130743,:b,1.09704
1469404958130743,:a,1.0971
1469404958130774,:b,1.09706
1469404958130774,:a,1.0971
1469404958136578,:b,1.09706
1469404958136578,:a,1.0971
1469404958145868,:b,1.09707
1469404958145868,:a,1.0971
1469404958145900,:b,1.09707
1469404958145900,:a,1.0971
1469404958146326,:b,1.09707
1469404958146326,:a,1.0971
1469404958146382,:b,1.09707
1469404958146382,:a,1.0971
1469404958146389,:b,1.09707
1469404958146389,:a,1.0971
1469404958146399,:b,1.09707
1469404958146399,:a,1.0971
1469404958146444,:b,1.09707
1469404958146444,:a,1.0971
1469404958146659,:b,1.09707
1469404958146659,:a,1.0971
1469404958146773,:b,1.09707
1469404958146773,:a,1.0971
1469404958147043,:b,1.09708
1469404958147043,:a,1.0971
1469404958175916,:b,1.09709
1469404958175916,:a,1.0971
1469404958200349,:b,1.09707
1469404958200349,:a,1.0971
1469404958200420,:b,1.09707
1469404958200420,:a,1.0971
1469404958201299,:b,1.09707
1469404958201299,:a,1.0971
1469404958201981,:b,1.09707
1469404958201981,:a,1.0971
1469404958218799,:b,1.09707
1469404958218799,:a,1.0971
1469404958219203,:b,1.09707
1469404958219203,:a,1.0971
1469404958219847,:b,1.09707
1469404958219847,:a,1.0971
1469404958219855,:b,1.09707
1469404958219855,:a,1.0971
1469404958220157,:b,1.09707
1469404958220157,:a,1.0971
1469404958220217,:b,1.09707
1469404958220217,:a,1.0971
1469404958220678,:b,1.09707
1469404958220678,:a,1.0971
1469404958224949,:b,1.09707
1469404958224949,:a,1.0971
1469404958226096,:b,1.09707
1469404958226096,:a,1.0971
1469404958226482,:b,1.09709
1469404958226482,:a,1.0971
1469404958261711,:b,1.09709
1469404958261711,:a,1.09712
1469404958327466,:b,1.09708
1469404958327466,:a,1.09712
1469404958343215,:b,1.09708
1469404958343215,:a,1.09712
1469404958343231,:b,1.09708
1469404958343231,:a,1.09712
1469404958343558,:b,1.09708
